순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,승률
5,오스틴,LG,0.334,90,400,344,71,115,19,3,28,224,84,0,3,0.578
21,김도영,KIA,0.294,92,399,340,74,100,20,1,27,203,77,0,4,0.544
20,힐리어드,KT,0.294,88,390,350,64,103,14,3,23,192,80,0,4,0.593
9,강백호,한화,0.315,82,358,314,53,99,18,0,23,186,86,0,4,0.482
12,최정,SSG,0.306,71,305,255,45,78,17,1,20,157,57,0,7,0.371
24,나성범,KIA,0.29,88,358,310,51,90,19,0,19,166,59,0,3,0.544
13,페라자,한화,0.305,88,393,325,72,99,22,1,18,177,57,2,4,0.482
16,디아즈,삼성,0.299,90,404,351,56,105,22,0,16,175,76,0,4,0.614
21,박건우,NC,0.294,84,340,289,42,85,12,0,16,145,57,0,9,0.477
27,에레디아,SSG,0.282,84,366,333,42,94,15,0,15,154,75,0,4,0.371
