순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,KT,0.281,88,3533,3057,478,860,141,14,61,1212,448,45,20
2,삼성,0.277,90,3646,3096,511,858,137,18,80,1271,486,32,35
3,NC,0.277,87,3431,2975,455,824,133,3,87,1224,430,34,29
4,한화,0.275,88,3580,3112,513,855,141,14,101,1327,482,44,28
5,두산,0.27,92,3615,3151,432,851,135,25,72,1252,405,46,41
6,LG,0.27,90,3508,3007,447,811,133,9,79,1199,428,50,33
7,KIA,0.268,92,3597,3159,487,848,165,9,110,1361,468,37,26
8,SSG,0.26,92,3620,3162,448,822,146,14,102,1302,427,28,36
9,롯데,0.259,90,3467,3118,396,808,144,13,66,1176,374,22,27
10,키움,0.238,93,3557,3128,338,746,131,7,59,1068,317,37,23
