순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문,최근10승,최근10무,최근10패,최근10승률,AVG,HR,ERA,WHIP
1,삼성,90,54,34,2,0.614,0.0,7승0무3패,1패,28-1-16,26-1-18,7,0,3,0.7,0.277,80,4.11,1.38
2,KT,88,51,35,2,0.593,2.0,7승1무2패,7승,26-1-19,25-1-16,7,1,2,0.7777777777777778,0.281,61,4.53,1.45
3,LG,90,52,38,0,0.578,3.0,2승0무8패,6패,30-0-18,22-0-20,2,0,8,0.2,0.27,79,4.56,1.46
4,KIA,92,49,41,2,0.544,6.0,5승0무5패,1패,25-2-17,24-0-24,5,0,5,0.5,0.268,110,4.25,1.42
5,두산,92,47,42,3,0.528,7.5,7승1무2패,3승,25-1-17,22-2-25,7,1,2,0.7777777777777778,0.27,72,3.84,1.37
6,한화,88,41,44,3,0.482,11.5,3승1무6패,1승,18-2-25,23-1-19,3,1,6,0.3333333333333333,0.275,101,4.61,1.49
7,NC,87,41,45,1,0.477,12.0,5승0무5패,1승,22-0-23,19-1-22,5,0,5,0.5,0.277,87,4.65,1.44
8,롯데,90,40,48,2,0.455,14.0,5승0무5패,1패,16-0-26,24-2-22,5,0,5,0.5,0.259,66,4.46,1.46
9,SSG,92,33,56,3,0.371,21.5,3승0무7패,1승,15-2-26,18-1-30,3,0,7,0.3,0.26,102,5.85,1.62
10,키움,93,33,58,2,0.363,22.5,4승1무5패,1승,20-1-29,13-1-29,4,1,5,0.4444444444444444,0.238,59,5.0,1.51
