순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA_zscore,WHIP_zscore
1,두산,3.84,92,47,42,21,38,0.528,818.6666666666666,812,69,312,55,771,400,349,1.37,-1.3646747381033408,-1.264390845635281
2,삼성,4.11,90,54,34,27,54,0.614,799.0,777,86,326,57,668,399,365,1.38,-0.870757607690603,-1.1239029738980302
3,KIA,4.25,92,49,41,16,56,0.544,814.6666666666666,806,86,348,46,655,428,385,1.42,-0.6146524289580733,-0.5619514869490135
4,롯데,4.46,90,40,48,19,42,0.455,800.6666666666666,829,80,342,46,721,444,397,1.46,-0.23049466085927786,3.1194573976657043e-15
5,KT,4.53,88,51,35,19,45,0.593,786.3333333333334,861,73,279,43,669,428,396,1.45,-0.10244207149301221,-0.14048787173725102
6,LG,4.56,90,52,38,37,65,0.578,795.3333333333334,858,77,304,46,599,428,403,1.46,-0.0475623903360426,3.1194573976657043e-15
7,한화,4.61,88,41,44,13,44,0.482,785.6666666666666,824,76,350,63,636,458,402,1.49,0.04390374492557666,0.42146361521176556
8,NC,4.65,87,41,45,15,43,0.477,765.6666666666666,735,89,370,52,700,450,396,1.44,0.11707665313487109,-0.2809757434745052
9,키움,5.0,93,33,58,22,45,0.363,819.6666666666666,897,80,342,46,699,494,455,1.51,0.7573395999661962,0.7024393586862739
10,SSG,5.85,92,33,56,12,34,0.371,806.3333333333334,884,101,426,63,691,576,524,1.62,2.312263899413701,2.2478059477960697
